"Date","Site.Name","COUNTY","meanLat","meanLong","month","year","PM2.5","Ozone"
2020-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,40,NA
2020-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,45,NA
2020-01-18,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,31
2020-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,40,22.5
2020-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,35,NA
2020-01-18,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,31,NA
2020-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,34,NA
2020-01-18,"Millbrook School","Wake",35.856111,-78.574167,1,2020,54,31
2020-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,38,NA
2020-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,50,27
2020-01-19,"Bryson City","Swain",35.434767,-83.442133,1,2020,52,NA
2020-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,54,NA
2020-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,57,NA
2020-01-19,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,36
2020-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,49,28.5
2020-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,43,NA
2020-01-19,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,25,NA
2020-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,37,NA
2020-01-19,"Millbrook School","Wake",35.856111,-78.574167,1,2020,55,32.5
2020-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,34,NA
2020-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,42,32
2020-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2020,51,NA
2020-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,21,NA
2020-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,63,NA
2020-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,45,NA
2020-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,6,40
2020-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,43,32
2020-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,36,NA
2020-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,28,NA
2020-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,2020,8,NA
2020-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,38,NA
2020-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,2020,50,35
2020-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,41,NA
2020-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,40,35
2020-01-21,"Bryson City","Swain",35.434767,-83.442133,1,2020,50,NA
2020-01-21,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,48,NA
2020-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,44,NA
2020-01-21,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,44
2020-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,53,34
2020-01-21,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,49,NA
2020-01-21,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,22,NA
2020-01-21,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,34,NA
2020-01-21,"Millbrook School","Wake",35.856111,-78.574167,1,2020,51,35.5
2020-01-21,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,35,NA
2020-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,43,36
2020-01-22,"Bryson City","Swain",35.434767,-83.442133,1,2020,48,NA
2020-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,25,NA
2020-01-22,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,58,NA
2020-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,59,NA
2020-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,57,34
2020-01-22,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,52,NA
2020-01-22,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,40,NA
2020-01-22,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,51,NA
2020-01-22,"Millbrook School","Wake",35.856111,-78.574167,1,2020,59,32
2020-01-22,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,39,NA
2020-01-22,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,57,NA
2020-01-23,"Bryson City","Swain",35.434767,-83.442133,1,2020,17,NA
2020-01-23,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,8,NA
2020-01-23,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,25,NA
2020-01-23,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,18.5,NA
2020-01-23,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,11,37
2020-01-23,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,15.5,33.5
2020-01-23,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,20,NA
2020-01-23,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,13,NA
